URL,Title,Location,Price,Bedrooms,Bathrooms,Area,PropertyType
https://www.mawa.om/en/rent/for-rent-open-space-in-al-ruwi-mutrah-1607596957-3159,For Rent Open Space In Al Ruwi / Mutrah,"Ruwi, Muscat, Oman",550 OMR,Open space,,250 sqr mtr,Office Space
https://www.mawa.om/en/rent/beautiful-four-bedroom-townhouse-in-qurum-1720444257-8742,Beautiful four bedroom townhouse in Qurum,"Qurum, Muscat, Oman",800 OMR,4,5,,Villa
https://www.mawa.om/en/rent/120-sqm-shell-core-shop-in-qurum-heights-1744723468-4063,120 SQM Shell & Core Shop in Qurum Heights,"Qurum, Muscat, Oman",780 OMR,,,,Shop
https://www.mawa.om/en/rent/showroom-for-rent-in-ghala-ref-376ta-1722847709-5789,Huge Showroom for Rent in Ghala| REF 376TA,"Ghala, Muscat, Oman","4,200 OMR",,2,700 sqr mtr,Commercial
https://www.mawa.om/en/rent/furnished-apartment-for-rent-in-azaiba-ref-966gh-1722847953-7747,Furnished Apartment for Rent in Azaiba | REF 966GH,"Azaiba, Muscat, Oman",350 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/3-br-fully-furnished-apartment-in-qurum-1728280625-2457,3 BR Fully Furnished Apartment in Qurum,"Qurum, Muscat, Oman",500 OMR,3,3,,Apartment
https://www.mawa.om/en/rent/2-br-ground-floor-brand-new-flat-in-juman-2-with-garden-1723985464-4893,2 BR Ground Floor Brand New Flat in Juman 2 with Garden,"Al Mouj, Muscat, Oman","1,250 OMR",2,3,,Apartment
https://www.mawa.om/en/rent/for-rent-offices-spaces-semi-furnished-full-floor-in-ruwi-1603959866-9827,For Rent Offices Spaces Semi Furnished (Full Floor)  In Ruwi,"Ruwi, Muscat, Oman","1,000 OMR",Open space,,350 sqr mtr,Office Space
https://www.mawa.om/en/rent/type-2b-two-bedroom-apartment-almeria-south-al-mouj-muscat-1720444291-1621,"Type 2B, Two Bedroom Apartment, Almeria South, Al Mouj Muscat","Al Mouj, Muscat, Oman",600 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/15-br-commercial-use-villa-for-rent-mawaleh-1717507631-847,15 BR Commercial Use Villa for Rent – Mawaleh,"Al Mawaleh, Muscat, Oman","3,500 OMR",15,12,,Villa
https://www.mawa.om/en/rent/new-building-for-rent-sale-in-al-ansab-ref-787nb-1744112648-3520,New Building for Rent & Sale in Al Ansab |REF 787NB,"Ansab, Muscat, Oman",Price on request,,,,Whole Building
https://www.mawa.om/en/rent/rose-village-four-bedroom-villa-muscat-hills-1738153283-7274,Rose Village Four Bedroom Villa - Muscat Hills,"Muscat Hills, Muscat, Oman","1,250 OMR",4,4,,Villa
https://www.mawa.om/en/rent/type-a12-one-bedroom-apartment-marsa-gardens-al-mouj-muscat-1720445479-4289,"Type A12, one bedroom apartment, Marsa Gardens, Al Mouj Muscat","Al Mouj, Muscat, Oman",680 OMR,1,1,,Apartment
https://www.mawa.om/en/rent/modern-three-bedroom-villa-with-sea-views-in-qurum-1720444170-2161,Modern three bedroom villa with sea views in Qurum,"Qurum, Muscat, Oman",600 OMR,3,4,,Villa
https://www.mawa.om/en/rent/spacious-standalone-villa-for-rent-in-al-ghubra-north-ref-916tb-1740990918-9957,Spacious Standalone Villa for Rent in Al Ghubra North | REF 916TB,"Ghubrah North, Muscat, Oman","1,000 OMR",4,5,,Villa
https://www.mawa.om/en/rent/300-sq-m-office-space-in-ghubrah-north-1704006574-7729,300 SQ M Office Space in Ghubrah North,"Ghubrah, Muscat, Oman",750 OMR,,,,Office Space
https://www.mawa.om/en/rent/beautiful-three-bedroom-villa-in-al-hail-north-1612880842-5161,Beautiful three bedroom villa in Al Hail North,,900 OMR,3,3,,Villa
https://www.mawa.om/en/rent/great-townhouse-for-rent-in-al-ghubra-north-ref-734bb-1752477598-8270,Great Townhouse for Rent in Al Ghubra North | REF 734BB,"Ghubrah North, Muscat, Oman",600 OMR,4,6,,Villa
https://www.mawa.om/en/rent/type-tombazis-a1-three-bedroom-villa-al-mouj-muscat-1720444031-5350,"Type Tombazis A1, Three bedroom villa, Al Mouj Muscat","Al Mouj, Muscat, Oman","1,500 OMR",3,3,,Villa
https://www.mawa.om/en/rent/two-bedroom-apartment-al-khuwair-33-1624422636-6286,"Two bedroom apartment, Al Khuwair 33","Al Khuwair, Muscat, Oman",250 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/beautiful-4-bedrooms-with-maid-room-villa-for-rent-in-alkhoud-1685591055-1370,Beautiful 4 Bedrooms With Maid Room Villa For Rent in AlKhoud,"Al Khoud, Muscat, Oman",425 OMR,4,5,320 sqr mtr,Villa
https://www.mawa.om/en/rent/for-rent-flat-in-al-qurum-1604131864-9856,For Rent Flat In Al Qurum,"Qurum, Muscat, Oman",270 OMR,2,2,120 sqr mtr,Apartment
https://www.mawa.om/en/rent/luxury-apartment-1604317885-5559,"Luxury 3 Bedroom Apartment for rent in Qurum, Muscat, Oman","Qurum, Muscat, Oman",650 OMR,3,5,200 sqr mtr,Apartment
https://www.mawa.om/en/rent/cozy-twin-villa-for-rent-in-al-ansab-ref-567bb-1723614711-8772,Cozy Twin Villa for Rent in Al Ansab | REF 567BB,"Ansab, Muscat, Oman",430 OMR,5+1,7,,Villa
https://www.mawa.om/en/rent/two-bedroom-furnished-apartment-marsa-one-al-mouj-1678597351-5665,"Two Bedroom Furnished Apartment, Marsa One, Al Mouj","Al Mouj, Muscat, Oman","1,100 OMR",2,2,,Apartment
https://www.mawa.om/en/rent/2-br-apartment-with-golf-course-view-muscat-hills-1744722061-9084,2 BR Apartment with Golf Course View | Muscat Hills,"Muscat Hills, Muscat, Oman",550 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/for-rent-flat-in-al-qurum-1606719162-4047,For Rent Flat In Al Qurum,"Qurum, Muscat, Oman",180 OMR,1,1,85 sqr mtr,Apartment
https://www.mawa.om/en/rent/181-sqm-commercial-office-space-in-qurum-for-rent-1644911452-6799,181 SQM Commercial Office Space in Qurum FOR RENT,"Qurum, Muscat, Oman",634 OMR,,,,Office Space
https://www.mawa.om/en/rent/one-bedroom-fully-furnished-apartment-in-al-qurum-1720444349-511,One bedroom fully furnished apartment in Al Qurum,"Qurum, Muscat, Oman",530 OMR,1,2,,Apartment
https://www.mawa.om/en/rent/gorgeous-standalone-villa-for-sale-in-al-amerat-ref-802nb-1731929854-9158,Gorgeous Standalone Villa for Rent in Al Amerat | REF 802NB,"Al Amarat, Muscat, Oman",800 OMR,7,7,600 sqr mtr,Villa
https://www.mawa.om/en/rent/retail-shops-for-rent-located-in-mabelah-1708260631-6645,Retail Shops for Rent Located in Mabelah,,590 OMR,,,,Shop
https://www.mawa.om/en/rent/400-sqm-office-space-in-bausher-behind-al-ameen-mosque-1726465300-5339,400 SQM Office Space in Bausher (Behind Al Ameen Mosque),"Bawshar, Muscat, Oman","1,200 OMR",,,,Office Space
https://www.mawa.om/en/rent/wattayah-private-office-spaces-with-city-view-cabins-and-partitions-1704006842-9725,Wattayah Private Office Spaces with City View Cabins and Partitions,"Wattayyah, Muscat, Oman","3,150 OMR",,,,Office Space
https://www.mawa.om/en/rent/five-bedroom-villa-in-beach-links-al-mouj-muscat-1708254914-4713,"Five bedroom villa in Beach links, Al Mouj Muscat","Al Mouj, Muscat, Oman","3,000 OMR",5,5,,Villa
https://www.mawa.om/en/rent/luxury-4-bedrooms-private-pool-villa-for-rent-in-madinat-sultan-qaboos-1685592673-2723,Luxury 4 Bedrooms + Private Pool Villa for Rent in Madinat sultan Qaboos,"Madinat As Sultan Qaboos, Muscat, Oman",900 OMR,4,6,,Villa
https://www.mawa.om/en/rent/huge-showroom-for-rent-in-azaiba-ref-582yb-1723985447-7039,Huge Showroom for Rent in Azaiba |REF 582YB,"Azaiba, Muscat, Oman","8,500 OMR",,,,Commercial
https://www.mawa.om/en/rent/corner-standalone-villa-for-rent-in-al-mouj-ref-331sb-1722847547-1373,Corner Standalone Villa for Rent in Al Mouj | REF 331SB,"Al Mouj, Muscat, Oman","2,300 OMR",5+1,6,,Villa
https://www.mawa.om/en/rent/great-townhouse-for-rent-in-al-qurum-ref-95bh-1723697950-2282,Great Townhouse for Rent in Al Qurum | REF 95BH,"Qurum, Muscat, Oman",550 OMR,3+1,3,,Villa
https://www.mawa.om/en/rent/7-br-maid-room-luxury-villa-in-al-mouj-reehan-residences-1738488518-8575,"7 BR + Maid Room Luxury Villa in Al Mouj, Reehan Residences","Al Mouj, Muscat, Oman","3,200 OMR",7,8,,Villa
https://www.mawa.om/en/rent/type-f-three-bedroom-townhouse-al-mouj-muscat-1720444314-8525,"Type F, Three Bedroom Townhouse, Al Mouj Muscat","Al Mouj, Muscat, Oman","1,000 OMR",4,3,,Townhouse
https://www.mawa.om/en/rent/three-bedroom-marsa-two-apartment-al-mouj-muscat-oman-1686463070-2628,Three bedroom Marsa two apartment | Al Mouj Muscat Oman,"Al Mouj, Muscat, Oman","1,450 OMR",3,3,,Apartment
https://www.mawa.om/en/rent/1-br-brand-new-stunning-apartment-juman-2-1744723346-852,1 BR Brand New Stunning Apartment – Juman 2,"Al Mouj, Muscat, Oman",650 OMR,1,2,,Apartment
https://www.mawa.om/en/rent/3-br-brand-new-villa-bousher-al-muna-gardens-1744721822-976,"3 BR Brand New Villa – Bousher, Al Muna Gardens","Bawshar, Muscat, Oman",700 OMR,3,4,,Villa
https://www.mawa.om/en/rent/1-br-cozy-apartment-in-al-mouj-marina-access-1745130728-156,1 BR Cozy Apartment in Al Mouj – Marina Access,"Al Mouj, Muscat, Oman",460 OMR,1,2,,Apartment
https://www.mawa.om/en/rent/350-sqm-office-space-for-rent-ruwi-cbd-area-1729061823-5760,"350 SQM Office Space for Rent – Ruwi, CBD Area","Ruwi, Muscat, Oman","1,050 OMR",,,,Office Space
https://www.mawa.om/en/rent/4-br-1-maids-room-villa-in-al-hail-north-close-to-the-village-1738488268-5192,4 BR + 1 Maid’s Room Villa in Al Hail North (Close to the Village),"Al Hail, Muscat, Oman",630 OMR,4,4,,Villa
https://www.mawa.om/en/rent/office-for-rent-in-ruwai-1603962572-7121,Office For Rent In Ruwai,"Ruwi, Muscat, Oman","1,000 OMR",,,850 sqr mtr,Office Space
https://www.mawa.om/en/rent/commercial-twin-villa-for-rent-in-al-mawaleh-south-ref-461yb-1722847781-4677,Commercial Twin Villa for Rent in Al Mawaleh South | REF 461YB,"Al Mawaleh South, Muscat, Oman","1,200 OMR",7,6,,Commercial
https://www.mawa.om/en/rent/furnished-2-bedrooms-duplex-maid-room-apartments-for-rent-1685589036-3117,Furnished 2 Bedrooms Duplex+ Maid Room Apartments for Rent,"Madinat As Sultan Qaboos, Muscat, Oman",910 OMR,2,4,170 sqr mtr,Apartment
https://www.mawa.om/en/rent/3-br-stunning-duplex-apartment-in-muscat-bay-with-private-pool-1732021329-9553,3 BR Stunning Duplex Apartment in Muscat Bay with Private Pool,"Muscat Bay, Muscat, Oman","1,200 OMR",3,4,,Apartment
https://www.mawa.om/en/rent/4-br-maids-room-lovely-villa-in-ghubra-with-amenities-nearby-1744789113-494,4 BR + Maid’s Room Lovely Villa in Ghubra with Amenities Nearby,,500 OMR,4,4,,Villa
https://www.mawa.om/en/rent/great-townhouse-for-rent-in-shatti-alqurum-ref-32ma-1722845791-4853,Great Townhouse for Rent in Shatti Alqurum | REF 32MA,"Shatti Al Qurum, Muscat, Oman","1,000 OMR",6,7,,Villa
https://www.mawa.om/en/rent/beautiful-twin-villa-for-rent-in-al-hail-south-ref-959gh-1722847952-6096,Beautiful Twin Villa for Rent in Al Hail South | REF 959GH,"Al Hail South, Muscat, Oman",450 OMR,5,6,,Villa
https://www.mawa.om/en/rent/1bhk-flat-for-rent-in-qurum-1685591387-8963,1BHK Flat for Rent in Qurum,,230 OMR,1,2,,Apartment
https://www.mawa.om/en/rent/4-bhk-villa-for-rent-in-izz-compound-1685539951-2186,4 BHK Villa for Rent in Izz Compound,"Madinat al Ilam, Muscat, Oman",650 OMR,4,4,350 sqr mtr,Villa
https://www.mawa.om/en/rent/beautiful-5brmaidroom-villa-for-rent-in-shatti-qurum-near-to-beach-1685592811-8667,Beautiful 5BR+Maidroom Villa for Rent in Shatti Qurum Near to Beach,"Shatti Al Qurum, Muscat, Oman","2,000 OMR",5,7,,Villa
https://www.mawa.om/en/rent/offices-for-rent-in-al-khuwair-ref-275sb-1722847488-8942,Offices for Rent in Al Khuwair | REF 275SB,"Al Khuwair, Muscat, Oman",650 OMR,,,104 sqr mtr,Commercial
https://www.mawa.om/en/rent/8000-sqm-land-in-jifnain-prime-location-with-easy-access-1725970184-2299,"8,000 SQM Land in Jifnain – Prime Location with Easy Access",,"6,400 OMR",,,,Land
https://www.mawa.om/en/rent/4-br-maids-room-beachfront-compound-villa-in-al-seeb-1738487816-2385,4 BR + Maid’s Room Beachfront Compound Villa in Al Seeb,,875 OMR,4,4,,Villa
https://www.mawa.om/en/rent/60-sqm-office-in-madinat-qaboos-near-british-council-1727766759-7737,60 sqm Office in Madinat Qaboos - Near British Council,"Madinat As Sultan Qaboos, Muscat, Oman",450 OMR,,,,Office Space
https://www.mawa.om/en/rent/standalone-villa-for-rent-in-qurum-ref-98lc-1753276391-7048,Standalone Villa for Rent in Qurum| REF 98LC,"Qurum, Muscat, Oman",750 OMR,5,7,700 sqr mtr,Villa
https://www.mawa.om/en/rent/3-br-1-maids-room-apartment-with-plunge-pool-in-bousher-1734323751-428,3 BR + 1 Maid’s Room Apartment with Plunge Pool in Bousher,"Bawshar, Muscat, Oman",855 OMR,3,3,,Apartment
https://www.mawa.om/en/rent/shatti-al-qurm-muscat-central-muscat-oman-1650257950-1845,"Villa for Rent in Shatti al Qurm, Muscat - Central, Muscat, Oman","Shatti Al Qurum, Muscat, Oman",750 OMR,3,3,,Villa
https://www.mawa.om/en/rent/for-rent-flat-in-al-qurum-1603376320-1886,"3 BHK flat for rent in Al Qurum, Muscat, OMan","Qurum, Muscat, Oman",450 OMR,3,3,190 sqr mtr,Apartment
https://www.mawa.om/en/rent/127-sqm-road-facing-shop-in-qurum-ras-al-hamra-area-1725970166-4932,127 SQM Road-Facing Shop in Qurum – Ras Al Hamra Area,"Qurum, Muscat, Oman",750 OMR,,,,Shop
https://www.mawa.om/en/rent/oman-residence-al-khuwair-muscat-two-bedroom-apartments-1644907336-7554,"Oman Residence, Al Khuwair, Muscat, Two bedroom apartments","Al Khuwair, Muscat, Oman",400 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/2-1-br-ground-floor-furnished-flat-with-garden-in-qurum-29-1744721846-1486,2 + 1 BR Ground Floor Furnished Flat with Garden in Qurum 29,"Al Khuwair, Muscat, Oman",700 OMR,2,3,,Apartment
https://www.mawa.om/en/rent/excellent-office-space-for-rent-in-mawaleh-north-ref-795gm-1722847835-7585,Excellent Office space for Rent in Mawaleh North | REF 795GM,"Al Mawaleh North, Muscat, Oman","1,350 OMR",,,,Commercial
https://www.mawa.om/en/rent/luxurious-well-designed-5br-with-private-pool-villa-available-for-rent-in-al-mouj-1716448286-660,Luxurious well designed 5BR With private pool Villa available for rent in Al Mouj,"Al Mouj, Muscat, Oman","1,900 OMR",5,6,,Villa
https://www.mawa.om/en/rent/modern-office-space-for-rent-in-mq-ref-498tb-1722847849-2492,Modern Office Space for Rent in MQ |REF 498TB,,"1,200 OMR",,2,,Commercial
https://www.mawa.om/en/rent/4-br-spacious-apartment-in-mawaleh-1734325028-1925,4 BR Spacious Apartment in Mawaleh,"Al Mawaleh, Muscat, Oman",450 OMR,4,4,,Apartment
https://www.mawa.om/en/rent/multiple-retail-shop-spaces-located-in-duqm-for-rent-45-100-sqm-1708317438-1723,Multiple Retail Shop Spaces Located in Duqm for Rent - 45 - 100 SQM,,700 OMR,,,,Shop
https://www.mawa.om/en/rent/new-office-space-for-rent-in-bosher-ref-952tb-1744264864-3035,New Office Space for Rent in Bosher | REF 952TB,"Bawshar, Muscat, Oman",5 OMR,,,40 sqr mtr,Office Space
https://www.mawa.om/en/rent/renovated-apartment-for-rent-in-al-qurum-ref-387bb-1722847664-561,Renovated Apartment for Rent in Al Qurum | REF 387BB,"Qurum, Muscat, Oman",300 OMR,3,3,,Apartment
https://www.mawa.om/en/rent/4-br-maids-room-villa-with-pool-lounge-in-seeb-1744721504-5904,4 BR + Maid’s Room Villa with Pool + Lounge in Seeb,,450 OMR,4,4,,Villa
https://www.mawa.om/en/rent/6-br-maids-room-brand-new-villa-in-ansab-heights-1738487802-7889,6 BR + Maid’s Room Brand New Villa in Ansab Heights,"Ansab, Muscat, Oman","1,000 OMR",6,7,,Villa
https://www.mawa.om/en/rent/1-br-fully-furnished-apartment-al-mouj-with-shared-pool-1744791645-5140,1 BR Fully Furnished Apartment – Al Mouj with Shared Pool,"Al Mouj, Muscat, Oman",550 OMR,1,2,,Apartment
https://www.mawa.om/en/rent/luxury-twin-villa-for-rent-in-al-ghubra-south-ref-543mb-1722847968-165,Luxury Twin Villa for Rent in Al Ghubra South | REF 543MB,,800 OMR,4+1,7,,Villa
https://www.mawa.om/en/rent/2bhk-apartment-for-rent-in-muscat-bay-1685591025-7978,2BHK Apartment for Rent in Muscat Bay,"Muscat Bay, Muscat, Oman",500 OMR,2,2,116 sqr mtr,Apartment
https://www.mawa.om/en/rent/fancy-apartment-for-rent-in-al-mawaleh-south-ref-500gh-1722847923-1294,Fancy Apartment for Rent in Al Mawaleh South | REF 500GH,"Al Mawaleh South, Muscat, Oman",550 OMR,3+1,5,,Apartment
https://www.mawa.om/en/rent/for-rent-villa-in-al-khoud-1604478024-1870,For Rent Villa In Al Khoud,"Al Khoud, Muscat, Oman",300 OMR,4,4,220 sqr mtr,Villa
https://www.mawa.om/en/rent/furnished-apartment-for-rent-in-muscat-hills-ref-496ga-1723985417-1884,Furnished Apartment for Rent in Muscat Hills |REF 496GA,"Muscat Hills, Muscat, Oman",380 OMR,1,1,,Apartment
https://www.mawa.om/en/rent/for-rent-fully-furnished-apartment-in-muscat-grand-mall-1603958793-7416,For Rent Fully Furnished Apartment In Muscat Grand Mall,"Ghubrah North, Muscat, Oman",600 OMR,2,2,100 sqr mtr,Apartment
https://www.mawa.om/en/rent/6-br-spacious-villa-for-rent-mawaleh-near-al-mouj-1744721454-4733,"6 BR Spacious Villa for Rent – Mawaleh, Near Al Mouj","Al Mawaleh, Muscat, Oman",650 OMR,6,6,,Villa
