title,price,location,area,bathrooms,bedrooms
High-end villa for rent in Al-Azaiba,630.0,"Azaiba, Muscat•",350.0,5.0,4.0
AZAIBA | BEAUTIFUL 4+1 BR VILLA,630.0,"Azaiba, Muscat•",300.0,5.0,4.0
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a",700.0,"Qurum, Muscat•",365.0,5.0,4.0
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,700.0,"The Wave (Almouj), Muscat•",110.0,3.0,2.0
ADV936** 4bhk + Maid's villa for rent in Qurum,1200.0,"Qurum, Muscat•",420.0,5.0,4.0
ADV937** 5bhk + Maid's villa for rent in Qurum,1600.0,"Qurum, Muscat•",450.0,6.0,5.0
ADV904**3BHK+Maid Brand new villa in Madinat Illam,1050.0,"Qurum, Muscat•",350.0,4.0,3.0
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,140.0,"Al Seeb, Muscat•",100.0,,
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,150.0,"Bosher, Muscat•",100.0,,
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,1200.0,"The Wave (Almouj), Muscat•",165.0,3.0,2.0
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,400.0,"Al Khoud, Muscat•",600.0,4.0,4.0
Brand New 2 BHK Apartments in Bausher – Book in Advance & Save!,,"Bosher, Muscat•",120.0,2.0,2.0
Brand New Spacious 5 BHK Villa for Rent – Seeb,650.0,"Al Seeb, Muscat•",220.0,6.0,5.0
Prime Brand new Warehouse for Rent in Khazaen Economic City,1800.0,"Muscat - Other, Muscat•",600.0,,
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,3060.0,"Muscat - Other, Muscat•",3400.0,,
Large retail space avaliable at Suqoon building in Azaiba,,"Azaiba, Muscat•",386.0,,
Taminat - Bausher - 2-bedroom apartment,425.0,"Bosher, Muscat•",140.0,3.0,2.0
"Prime Location for Your Business – Wafa Walk, Salalah",,"Salalah, Dhofar•",70.0,,
3bhk flat for rent in MQ,475.0,"Madinat As Sultan Qaboos, Muscat•",150.0,3.0,3.0
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,140.0,"Al Khoud, Muscat•",100.0,,
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,150.0,"Al Ghubrah, Muscat•",100.0,,
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,650.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,4.0
one room in darsait free wifi(B3222),85.0,"Darsait, Muscat•",35.0,1.0,1.0
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,2500.0,"Madinat As Sultan Qaboos, Muscat•",500.0,12.0,8.0
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,650.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,5.0
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,800.0,"Bosher, Muscat•",300.0,5.0,4.0
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,1800.0,"Qurum, Muscat•",400.0,5.0,4.0
Apartment for Rent \ Sale  in Al Qurum,320.0,"Qurum, Muscat•",130.0,3.0,2.0
MQ | EXCELLENT 5+1 BR VILLA,850.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,5.0
AL MOUJ  FULLY FURNISHED 2BHK APARTMENT WITH FREE WIFI FOR RENT,849.0,"The Wave (Almouj), Muscat•",180.0,2.0,2.0
QURUM | DELUXE 2BHK APARTMENT FOR RENT,449.0,"Qurum, Muscat•",145.0,2.0,2.0
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,2499.0,"Al Wadi Al Kabir, Muscat•",1300.0,,
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,,"Ghala, Muscat•",2200.0,,
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN,1299.0,"The Wave (Almouj), Muscat•",135.0,2.0,2.0
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,1400.0,"Madinat As Sultan Qaboos, Muscat•",640.0,7.0,6.0
MADINAT SULTAN QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,1550.0,"Madinat As Sultan Qaboos, Muscat•",425.0,6.0,5.0
AL MOUJ | 2BHK FULL MARINA VIEW WITH SPACIOUS OPEN BALCONY,999.0,"The Wave (Almouj), Muscat•",115.0,2.0,2.0
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,1550.0,"Madinat As Sultan Qaboos, Muscat•",325.0,6.0,5.0
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,1999.0,"Madinat As Sultan Qaboos, Muscat•",750.0,9.0,7.0
1bhk near Almouj free wifi (B173),200.0,"Al Mawaleh, Muscat•",85.0,2.0,1.0
6bhk Villa AlKhoud free WiFi ( one family only),480.0,"Al Khoud, Muscat•",300.0,6.0,6.0
ADV1003** Well maintained 4BHK+Maid villa for rent in Madinat sultan Q,750.0,"Madinat As Sultan Qaboos, Muscat•",425.0,6.0,4.0
ADV066**2BHK apartment for rent in bausher,300.0,"Bosher, Muscat•",90.0,2.0,2.0
ADV501**For Rent: Brand New 6 BHK Villa in Azaibah – Spacious & Modern,1000.0,"Azaiba, Muscat•",625.0,8.0,6.0
5BHK+Maid villa fo rent in the wave,1700.0,"The Wave (Almouj), Muscat•",400.0,6.0,5.0
"Warehouse for Rent – Khazaen, Muscat",2100.0,"Barka, Al Batinah•",700.0,,
EXCELLENT 2 BR APARTMENT IN AL KHUWAIR,280.0,"Al Khuwair, Muscat•",105.0,2.0,2.0
MUSCAT HILLS | FURNISHED 1 BHK APARTMENT,450.0,"Muscat Hills, Muscat•",85.0,2.0,1.0
Luxurious Furnished 4+1 BR Villa Available for Rent in Mabela,600.0,"Al Maabilah, Muscat•",300.0,6.0,5.0
Brand New Luxury Villa in MSQ!,1700.0,"Madinat As Sultan Qaboos, Muscat•",250.0,6.0,5.0
Commercial Space for Rent – Prime Road-Front Location in Bosher!,,"Bosher, Muscat•",110.0,,
Beautiful 4+1 BR Villa Available for QURUM,700.0,"Qurum, Muscat•",330.0,6.0,5.0
Super 6 Bedrooms Villa For Rent Zunairah in Almouj Muscat,5000.0,"The Wave (Almouj), Muscat•",900.0,10.0,6.0
95SQM office  in mabila3,250.0,"Al Maabilah, Muscat•",95.0,,
2bhk in ruwi (B71),120.0,"Ruwi, Muscat•",100.0,2.0,2.0
Fully Furnished 2 bedrooms Apartment in Almouj Muscat,800.0,"The Wave (Almouj), Muscat•",130.0,2.0,2.0
Fully Furnished Commercial Space for Rent – Al Khuwair,,"Al Khuwair, Muscat•",140.0,,
*ADC001**Brand New Full Building for Rent – Prime Location in Al Mawal,8000.0,"Al Mawaleh, Muscat•",2300.0,,
FULLY FURNISHED 1 BR APARTMENT,330.0,"Al Ghubrah, Muscat•",85.0,1.0,1.0
Shop For Rent,,"Al Khoud, Muscat•",94.0,,
للايجار شقه للعوائل في مرتفعات غلاء 2BHK FOR RENT,260.0,"Ghala, Muscat•",100.0,3.0,2.0
"Brand New Shop for Rent – Al Hail, Near the Sea",460.0,"Al Hail, Muscat•",23.0,,
"Brand New Shop for Rent – Al Hail, Near the Sea",1000.0,"Al Hail, Muscat•",50.0,,
Office Space for Rent – Prime Location in Al Khuwair,700.0,"Al Khuwair, Muscat•",200.0,,
Luxury Duplex 3+1 BHK for Rent in MQ on Ground floor,850.0,"Madinat As Sultan Qaboos, Muscat•",200.0,4.0,3.0
Brand new fully furnished  2 Bedrooms apartment for rent,375.0,"Ghala, Muscat•",100.0,3.0,2.0
WAREHOUSE FOR RENT IN RUSAYL,1900.0,"Al Rusayl, Muscat•",760.0,,
مكتب للإيجار في مكان مميز في انصب,285.0,"Ansab, Muscat•",55.5,,
The Qube – Retail Shops for Rent,,"Al Ghubrah, Muscat•",140.0,,
limited opportunities 1 BHK for rent in Azaiba Suqoon,325.0,"Azaiba, Muscat•",100.0,2.0,1.0
Brand new 2BHK Huge Terrace Parking Next to Qatar Airways,425.0,"Ghala, Muscat•",105.0,2.0,2.0
Retail Opportunities at Ghala Heights Complex,,"Ghala, Muscat•",324.36,,
Azaiba - 4-bedroom villa,,"Azaiba, Muscat•",250.0,5.0,4.0
Unique commercial spaces at the Qube Muscat - Ghubrah,1500.0,"Al Ghubrah, Muscat•",100.0,,
Office in Ghala Heights Complex,,"Ghala, Muscat•",200.0,,
"1,2,3 BHK flats for rent in Taminat Complex",400.0,"Bosher, Muscat•",100.0,3.0,2.0
Modern Offices for rent in MIC Towerمكاتب حديثة للإيجار,600.0,"Muscat - Other, Muscat•",120.0,,
Hamptons Business Center in Al Qurum offers all you need,250.0,"Qurum, Muscat•",10.0,,
1 bhk flat for rent in Lamar Bausher,415.0,"Bosher, Muscat•",110.0,3.0,2.0
FULLY FURNISHED 2 BR APARTMENT,400.0,"Al Ghubrah, Muscat•",105.0,2.0,2.0
ADV935**4BHK Villa for rent in a complex in qurum,750.0,"Qurum, Muscat•",300.0,5.0,4.0
ADV917** luxurious 3bhk+Study Villa in complex in shatti Al qurum,1750.0,"Qurum, Muscat•",350.0,5.0,4.0
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,3510.0,"Al Wadi Al Kabir, Muscat•",1300.0,,
(B5496)  2bhk in Southe Ghubrah free wifi,220.0,"Al Ghubrah, Muscat•",100.0,2.0,2.0
2bhk flat in mbd (B2023),200.0,"Ruwi, Muscat•",107.0,2.0,2.0
The Cube Building - Amerat,350.0,"Al Amarat, Muscat•",450.0,,
Villa for rent ( Stand Alone),700.0,"Al Mawaleh, Muscat•",500.0,8.0,6.0
Beautiful 5BR Complex Villa for Rent in Bausher al Muna,650.0,"Bosher, Muscat•",300.0,6.0,5.0
ADV929** 6bhk Brand new complex located in a prime location in the Qur,1000.0,"Qurum, Muscat•",450.0,6.0,5.0
ADV928** 5BHK+maid؛ villa in a complex located al shatti qurum,700.0,"Qurum, Muscat•",450.0,5.0,4.0
250sqm Partiotions office for rent in ghala,1500.0,"Ghala, Muscat•",250.0,,
ADA011**Duplex plus Maid for rent in Madinat Sutan qabus,700.0,"Madinat As Sultan Qaboos, Muscat•",300.0,3.0,2.0
ADV**928 Beachfront 3bhk +Study villa for rent in Shatti Qurum,1800.0,"Qurum, Muscat•",350.0,5.0,3.0
ADV**912 Beachfront 4bhk+Study villa for rent in Shatti Qurum,2600.0,"Qurum, Muscat•",648.0,5.0,4.0
Apartment for Rent in Bawshar - شقة للايجار في بوشر,400.0,"Bosher, Muscat•",60.0,2.0,2.0
AL GHUBRAH NORTH | EXCELLENT 2+1 BR FLAT,425.0,"Al Ghubrah, Muscat•",105.0,2.0,2.0
ADV1201** Stunning 5+1 Bedroom (UN FURNISHED) Villa in The Wave – Just,1800.0,"The Wave (Almouj), Muscat•",400.0,6.0,5.0
ADV927**Brand new 3BHK+Maid villa for rent in qurum heights,1200.0,"Qurum, Muscat•",350.0,3.0,3.0
"Murooj Al Zain – Salalah’s Hidden Gem, 3 Bedroom Apartment",80.0,"Salalah, Dhofar•",100.0,3.0,3.0
25sqm Shops in AlMisfah for rent first line(B225),80.0,"Misfah, Muscat•",25.0,,
BARR AL JISSAH | LUX FURNISHED 4+1 BR VILLA - RESORT LIVING,1599.0,"Barr Al Jissah, Muscat•",265.0,5.0,5.0
Pearl Muscat - Muscat Hiils,,"Muscat Hills, Muscat•",75.0,2.0,1.0
Park View - Al Qurum,425.0,"Qurum, Muscat•",120.0,2.0,2.0
AMAZING FURNISHED 1 BHK APARTMENT FOR COUPLES,330.0,"Al Ghubrah, Muscat•",85.0,1.0,1.0
QURUM | 2 BEDROOM APARTMENT,220.0,"Qurum, Muscat•",105.0,2.0,2.0
For Rent – Spacious Luxury Villa in Qurum,600.0,"Qurum, Muscat•",300.0,6.0,5.0
شقه للايجار للعوائل في غلا شارع الجامع الاكبر,300.0,"Ghala, Muscat•",120.0,3.0,2.0
شقة للايجار فى بوشر قريبة من مطعم الضيعة اللبنانى 2BHK FORT RENT,220.0,"Bosher, Muscat•",100.0,2.0,2.0
Villa for Rent in Bawshar - فيلا للايجار في بوشر,550.0,"Bosher, Muscat•",80.0,6.0,5.0
Villa for Rent in Mabela - شقة للايجار في المعبيله,550.0,"Al Maabilah, Muscat•",70.0,5.0,5.0
Apartment for Rent in Mattrah - شقة للايجار في مطرح,250.0,"Mutrah, Muscat•",50.0,2.0,2.0
SEA VIEW OFFICE SPACE FOR RENT - AZAIBA !,,"Azaiba, Muscat•",89.0,,
BRAND NEW HYBRID OFFICE SPACES FOR RENT - QURUM!,250.0,"Qurum, Muscat•",15.0,,
BEAUTIFUL 2 BR APARTMENT AVAILABLE FOR RENT IN AL MOUJ,700.0,"The Wave (Almouj), Muscat•",120.0,2.0,2.0
Commercial-use Villa in One of the Best Locations in Al Khuwair South,1100.0,"Al Khuwair, Muscat•",615.0,6.0,6.0
Luxurious Brand-New 5+1 BR villa available for rent in Madinat Al-Il,1300.0,"Madinat As Sultan Qaboos, Muscat•",500.0,7.0,6.0
Office for Rent in Al Khuwair,600.0,"Al Khuwair, Muscat•",190.0,,
FOR RENT Luxury Villa! Located in MADINAT AL ILLAM,700.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,5.0
For Rent – Luxurious & Unique Villa in Al Mouj,1900.0,"The Wave (Almouj), Muscat•",600.0,5.0,5.0
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,700.0,"Bosher, Muscat•",299.0,4.0,3.0
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,1800.0,"Qurum, Muscat•",500.0,5.0,4.0
محلات للايجار في بازار صحار على الشارع العام وقريب جسر صحار,300.0,"Al Khoud, Muscat•",20.0,,
Shops in Al Khoudh main Street next to high brand cafes and restaurant,1000.0,"Al Khoud, Muscat•",120.0,,
Fully furnished office space for one person at Muscat Hills,209.0,"Muscat - Other, Muscat•",10.0,,
Fully furnished office space for two persons in Muscat Hills,299.0,"Muscat Hills, Muscat•",10.0,,
"Office Membership available in MUSCAT, Al Mawaleh",109.0,"Qurum, Muscat•",10.0,,
"Private office space for 1 person in MUSCAT, Hormuz Grand",225.0,"Muscat Hills, Muscat•",10.0,,
"Ready-to-move in Office space for 2  people at Muscat, Al Khuwair",250.0,"Al Khuwair, Muscat•",120.0,,
"Private office space for 3 persons in Muscat, Roola District",385.0,"Ghala, Muscat•",15.0,,
"Find office space in Muscat, Roola District for 2 persons",281.0,"Ghala, Muscat•",10.0,,
"Private office space for 5 persons in Sohar, Sohar City Centre",555.0,"Sohar, Al Batinah•",30.0,,
"Open plan office space for 15 persons in Sohar, Sohar City Centre",1005.0,"Sohar, Al Batinah•",100.0,,
"Open plan office space for 10 persons in Sohar, Sohar City Centre",809.0,"Sohar, Al Batinah•",45.0,,
"Private office space for 4 persons in Sohar, Sohar City Centre",480.0,"Sohar, Al Batinah•",20.0,,
"Private office space for 3 persons in Sohar, Sohar City Centre",329.0,"Sohar, Al Batinah•",15.0,,
"Private office space for 2 persons in Sohar, Sohar City Centre",196.0,"Sohar, Al Batinah•",10.0,,
"Fully serviced private office space in MUSCAT, Beach One",249.0,"Muscat - Other, Muscat•",10.0,,
"Furnished office space in Muscat, Pearl Square for 4 persons",429.0,"Muscat Hills, Muscat•",20.0,,
"Join a professional coworking environment in Muscat Hill, Pearl Square",109.0,"Muscat Hills, Muscat•",10.0,,
"All-inclusive access to coworking in Muscat, Pearl Square",109.0,"Muscat Hills, Muscat•",10.0,,
Fully serviced office space for you and your team at Qurum,299.0,"Qurum, Muscat•",60.0,,
Furnished office space for 6 persons in MAWALEH,519.0,"Al Mawaleh, Muscat•",75.0,,
"Coworking space in MUSCAT, Shatti Al Qurum",130.0,"Qurum, Muscat•",10.0,,
"Work in MUSCAT, Al Khuwair  or anywhere else in our global network",89.0,"Al Khuwair, Muscat•",10.0,,
FULLY SERVICED PRIVATE OFFICE SPACES FOR RENT - AL KHUWAIR !!,225.0,"Al Khuwair, Muscat•",10.0,,
"Open plan office space for 15 persons in Muscat, Roola District",1243.0,"Ghala, Muscat•",100.0,,
"Open plan office space for 10 persons in Muscat, Roola District",997.0,"Ghala, Muscat•",45.0,,
"Private office space for 5 persons in Muscat, Roola District",716.0,"Ghala, Muscat•",30.0,,
"Private office space for 4 persons in Muscat, Roola District",527.0,"Ghala, Muscat•",20.0,,
PRIVATE OFFICE SPACES FOR RENT - AL KHUWAIR !!,225.0,"Al Khuwair, Muscat•",10.0,,
"Unlimited office access in Bait Eteen, Al Khuwair",250.0,"Al Khuwair, Muscat•",10.0,,
"Open plan office space for 15 persons in Muscat, Pearl Square",1297.0,"Muscat Hills, Muscat•",100.0,,
"Private office space for 1 person in Muscat, Pearl Square",215.0,"Muscat Hills, Muscat•",10.0,,
Premium flexible workspace for 3 at prestigious location of Al Mawaleh,339.0,"Al Mawaleh, Muscat•",11.0,,
BRILLIANT townhouse available for rent in Al Qurum,770.0,"Qurum, Muscat•",250.0,5.0,3.0
Sea Side Villa is located in a compound in Al Hail North Golden Squar,755.0,"Al Hail, Muscat•",400.0,7.0,5.0
RV67 - LUX BRAND NEW 5BHK VILLA IN AZAIBAH FOR RENT NEAR THE BEACH,1000.0,"Azaiba, Muscat•",450.0,6.0,5.0
2 Bedrooms Apartment With Beautiful Ocean View,800.0,"The Wave (Almouj), Muscat•",125.0,3.0,2.0
EXCELLENT 2 BR FLAT IN AL KHUWAIR,280.0,"Al Khuwair, Muscat•",105.0,2.0,2.0
Fully Fitted Office Space for Transfer – Qurum,2600.0,"Qurum, Muscat•",240.0,,
146 SQM Modern Office Space at Muscat Hills,1100.0,"Muscat Hills, Muscat•",146.0,,
SR--AM-860 Villa For Rent In Azaiba/ فيلا للايجار في العذيبة,550.0,"Azaiba, Muscat•",250.0,6.0,3.0
SR--MO-942 Villa for rent in Al ansab .,600.0,"Ansab, Muscat•",450.0,8.0,6.0
AL MOUJ | SPACIOUS 3 BHK APARTMENT FOR RENT,950.0,"The Wave (Almouj), Muscat•",135.0,3.0,3.0
For Rent: Commercial Office in Bousher,420.0,"Bosher, Muscat•",76.0,,
Beautiful 5 BR townhouse available for rent in Bawshar Heights,550.0,"Bosher, Muscat•",300.0,6.0,5.0
Hotel-Style Apartment for Rent – Branded Residences,1700.0,"The Wave (Almouj), Muscat•",233.21,3.0,2.0
3+1 BHK APARTMENT IN Gubrah (SUBG),600.0,"Al Ghubrah, Muscat•",150.0,4.0,3.0
2 BHK apartment in jasmine complex (DISG),390.0,"Al Khuwair, Muscat•",120.0,2.0,2.0
"""SR-JV-495  Villa to let In al seeb  """,550.0,"Al Seeb, Muscat•",250.0,5.0,3.0
"""SR--DM-854   Villa for Rent – North Al Hail فيلا فاخرة للإيجار بالحيل",825.0,"Al Hail, Muscat•",300.0,5.0,4.0
SR--SO-943 Villa for rent in Al Ansab heights.,450.0,"Ansab, Muscat•",400.0,7.0,6.0
"""SR-FM-464 Pant house for rent in alhail north",600.0,"Al Hail, Muscat•",170.0,4.0,3.0
SR--ZW-908 Villa for rent in almawaleh north,700.0,"Al Mawaleh, Muscat•",550.0,9.0,7.0
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,4.0
4 BR lake view villa for rent in Muscat Bay,1300.0,"Qantab, Muscat•",500.0,5.0,4.0
ADV408**Luxurious Standalone Villa for Rent – Fully Furnished,900.0,"Al Hail, Muscat•",450.0,4.0,3.0
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,700.0,"Bosher, Muscat•",300.0,4.0,3.0
Offices available for rent in prime locations in Al Azaiba,1500.0,"Azaiba, Muscat•",300.0,,
2 Bedrooms Apartment for Rent in Almouj Muscat Marina Views,900.0,"The Wave (Almouj), Muscat•",154.0,2.0,2.0
93 SQM Office Space FOR RENT Bausher near Al Ameen Mosque MPC28-B,511.5,"Bosher, Muscat•",93.0,,
Spacious Offices FOR RENT in Ghala Airport Heights MPC07,638.49,"Ghala, Muscat•",213.0,,
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2BEDROOM LUXURIOUS VILLA,2199.0,"Madinat As Sultan Qaboos, Muscat•",700.0,9.0,8.0
ADV925** 3bhk + maid's villa for rent in complex located in qurum heig,550.0,"Qurum, Muscat•",300.0,3.0,3.0
Brand new villa for rent in Madinat sultan qabus,1800.0,"Madinat As Sultan Qaboos, Muscat•",400.0,6.0,5.0
ADV101*5BHK+Maid twin villa for rent in seeb sur al hadid,475.0,"Al Seeb, Muscat•",375.0,6.0,5.0
ADA010*2BHK+Maid apartement for rent in Madinat sultan,650.0,"Madinat As Sultan Qaboos, Muscat•",130.0,3.0,2.0
93 sqm luxury office in mabila free wifi,200.0,"Al Maabilah, Muscat•",95.0,,
2bhk in alhail free wifi (family only),180.0,"Al Hail, Muscat•",100.0,3.0,2.0
1bhk darsait near ISM school free wifi,130.0,"Darsait, Muscat•",90.0,1.0,1.0
PENTHOUSE FURNISHED 2 BHK FLAT WITH LARGE BALCONY,400.0,"Al Ghubrah, Muscat•",105.0,2.0,2.0
"""SR-NM-806  Commercial Villa for Rent – Mazzoun Street.",2000.0,"Al Khoud, Muscat•",125.0,,
SR-MS--949 Fully furnished flat for rent in Bosher.,400.0,"Bosher, Muscat•",170.0,3.0,2.0
SR-BD-902 Villa for Rent in Mawaleh North/فيلا للايجار في الموالح,650.0,"Al Mawaleh, Muscat•",500.0,8.0,7.0
1 BHK APARTMENT IN GRAND MALL (SD23H),450.0,"Bosher, Muscat•",120.0,2.0,1.0
2 BHK apartment in Muscat Grand Mall (S27G),550.0,"Bosher, Muscat•",120.0,3.0,2.0
"Brand New 5 BHK Villa for Rent – MQ, Muscat",1000.0,"Madinat As Sultan Qaboos, Muscat•",370.0,6.0,5.0
Exclusive Fully Serviced Office Spaces - Al Khuwair - Bait Eteen,250.0,"Al Khuwair, Muscat•",12.0,,
"ADW03**Beautiful & Spacious 2 BHK Apartment for Rent – The Wave, Marsa",700.0,"The Wave (Almouj), Muscat•",110.0,2.0,2.0
